Date,ITUB4_BRL,PETR4_BRL,USD_BRL,VALE3_BRL,WEGE3_BRL,IBOV_PONTOS,SP500_BRL,DOWJONES_BRL
2021-08-31,20.253646850585938,8.551765441894531,5.1828999519348145,60.77854537963867,31.974308013916016,118781.0,23440.59886567318,183271.1282468643
2021-09-01,20.342050552368164,8.504589080810547,5.1493000984191895,60.88325119018555,32.630699157714844,119396.0,23295.89627767913,181834.8206410557
2021-09-02,19.608539581298828,8.36620044708252,5.184599876403809,60.69231414794922,32.13615417480469,116677.0,23522.271421867423,183762.0264114663
2021-09-03,19.4971923828125,8.281281471252441,5.18179988861084,60.73542404174805,32.59473419189453,116933.0,23501.691579665523,183275.54581261054
2021-09-06,19.746076583862305,8.322166442871094,5.189799785614014,59.780765533447266,32.71162033081055,117869.0,23537.97455393686,183558.49488845654
2021-09-07,19.746076583862305,8.322166442871094,5.169300079345703,59.780765533447266,32.71162033081055,117869.0,23365.390327053145,181442.43278503418
2021-09-08,18.809526443481445,7.853533744812012,5.169600009918213,58.53661346435547,32.810523986816406,113413.0,23335.935408052756,181096.6214349456
2021-09-09,19.058393478393555,8.020228385925293,5.3206000328063965,58.32719039916992,34.92355728149414,115361.0,23906.944572310662,185579.22455286048
2021-09-10,18.868467330932617,7.969904899597168,5.196499824523926,58.39494323730469,34.76171875,114286.0,23169.010593602434,179839.00441154838
2021-09-13,19.10425567626953,8.24982738494873,5.247000217437744,58.36415481567383,34.97751998901367,116404.0,23447.427179190097,182960.9504530672
2021-09-14,18.986358642578125,8.139747619628906,5.213200092315674,57.95148849487305,35.40911102294922,116181.0,23162.50765196001,180259.7927451767
2021-09-15,18.678544998168945,8.281281471252441,5.238900184631348,56.504085540771484,35.822731018066406,115063.0,23473.94108050037,182389.11747314036
2021-09-16,18.665441513061523,8.208941459655762,5.221700191497803,54.1574592590332,35.87668991088867,113794.0,23360.581231713295,181460.97593058273
2021-09-17,18.2200927734375,7.840953350067139,5.256800174713135,53.061126708984375,35.23826217651367,111439.0,23303.34383856412,181805.7974768076
2021-09-20,17.8074893951416,7.752888202667236,5.289700031280518,50.96701431274414,34.9685173034668,108844.0,23051.084413997596,179693.58960948884
2021-09-21,17.761632919311523,7.929017543792725,5.323200225830078,51.81081771850586,35.74181365966797,110250.0,23178.224879400805,180562.09911637008
